Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Refence,Old_new,text_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,Testtext.started,text_textbox.started,submit_text.started,testmouse.started,Testtext.stopped,test.stopped,trials_2.text_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Laptop,0,0,0,1.8592592592592592,2.4699715999886394,,,,,,,,,,,,0,0,0,5,,,,,0.0263101999880746,,0.016982499975711107,0.0263101999880746,0.0263101999880746,2.5028317000251263,1.8592592592592592,2.4699715999886394,,,,,,,,,,,,,,,,p3,001,2025-10-10_23h21.33.201,word priming,,2025.1.1,59.7150398152156,2025-10-10 23h22.13.294775 +0530,
phone,1,1,0,1.8592592592592592,1.0285068000666797,,,,,,,,,,,,0,1,1,2,,,,,2.518093299935572,,2.5082902000285685,2.518093299935572,2.518093299935572,3.5523630999960005,1.8592592592592592,1.0285068000666797,,,,,,,,,,,,,,,,p3,001,2025-10-10_23h21.33.201,word priming,,2025.1.1,59.7150398152156,2025-10-10 23h22.13.294775 +0530,
T-shirt,2,2,0,1.8592592592592592,0.19284380006138235,,,,,,,,,,,,0,2,2,7,,,,,3.5679604000179097,,3.56092009996064,3.5679604000179097,3.5679604000179097,3.7688475999748334,1.8592592592592592,0.19284380006138235,,,,,,,,,,,,,,,,p3,001,2025-10-10_23h21.33.201,word priming,,2025.1.1,59.7150398152156,2025-10-10 23h22.13.294775 +0530,
Poster,3,3,0,4.174074074074074,2.9464339000405744,,,,,,,,,,,,0,3,3,14,,,,,3.7849190999986604,,3.7729524000314996,3.7849190999986604,3.7849190999986604,6.735598900006153,4.174074074074074,2.9464339000405744,,,,,,,,,,,,,,,,p3,001,2025-10-10_23h21.33.201,word priming,,2025.1.1,59.7150398152156,2025-10-10 23h22.13.294775 +0530,
Case,4,4,0,4.174074074074074,0.9478938999818638,,,,,,,,,,,,0,4,4,10,,,,,6.751354599953629,,6.738264699932188,6.751354599953629,6.751354599953629,7.702341399970464,4.174074074074074,0.9478938999818638,,,,,,,,,,,,,,,,p3,001,2025-10-10_23h21.33.201,word priming,,2025.1.1,59.7150398152156,2025-10-10 23h22.13.294775 +0530,
mouse,5,5,0,4.174074074074074,0.9791383999399841,,,,,,,,,,,,0,5,5,8,,,,,7.718155500013381,,7.706930399988778,7.718155500013381,7.718155500013381,8.702287400024943,4.174074074074074,0.9791383999399841,,,,,,,,,,,,,,,,p3,001,2025-10-10_23h21.33.201,word priming,,2025.1.1,59.7150398152156,2025-10-10 23h22.13.294775 +0530,
Chart,6,6,0,1.8222222222222222,2.131659800070338,,,,,,,,,,,,0,6,6,6,,,,,8.718913599965163,,8.704573699971661,8.718913599965163,8.718913599965163,10.852209500037134,1.8222222222222222,2.131659800070338,,,,,,,,,,,,,,,,p3,001,2025-10-10_23h21.33.201,word priming,,2025.1.1,59.7150398152156,2025-10-10 23h22.13.294775 +0530,
Keys,7,7,0,1.8222222222222222,0.827379500027746,,,,,,,,,,,,0,7,7,13,,,,,10.86783599993214,,10.858580900006928,10.86783599993214,10.86783599993214,11.70229379995726,1.8222222222222222,0.827379500027746,,,,,,,,,,,,,,,,p3,001,2025-10-10_23h21.33.201,word priming,,2025.1.1,59.7150398152156,2025-10-10 23h22.13.294775 +0530,
board,8,8,0,1.8222222222222222,0.795966099947691,,,,,,,,,,,,0,8,8,4,,,,,11.717780399951153,,11.706782500026748,11.717780399951153,11.717780399951153,12.518904099939391,1.8222222222222222,0.795966099947691,,,,,,,,,,,,,,,,p3,001,2025-10-10_23h21.33.201,word priming,,2025.1.1,59.7150398152156,2025-10-10 23h22.13.294775 +0530,
Pastry,9,9,0,3.840740740740741,1.8307357000885531,,,,,,,,,,,,0,9,9,9,,,,,12.535119400010444,,12.52227319998201,12.535119400010444,12.535119400010444,14.369257100042887,3.840740740740741,1.8307357000885531,,,,,,,,,,,,,,,,p3,001,2025-10-10_23h21.33.201,word priming,,2025.1.1,59.7150398152156,2025-10-10 23h22.13.294775 +0530,
